Country,Population
Gibraltar,30001
San Marino,32576
Liechtenstein,37132
Faroe Islands,49709
Andorra,85082
Iceland,325671
Malta,446547
Luxembourg,549680
Montenegro,647905
Cyprus,1117000
Estonia,1315819
North. Ireland,1810863
Latvia,1990300
Macedonia,2058539
Slovenia,2061085
Lithuania,2944459
Armenia,3018854
Albania,3020209
Wales,3063456
Moldova,3557600
Bosnia & Herzegovina,3871643
Croatia,4284889
Rep. of Ireland,4581269
Georgia,4935880
Norway,5136700
Scotland,5295000
Slovakia,5415949
Finland,5470820
Denmark,5655750
Serbia,7209764
Bulgaria,7364570
Switzerland,8183800
Israel,8462000
Austria,8504850
Belarus,9475100
Azerbaijan,9494600
Sweden,9716962
Hungary,9877365
Portugal,10427301
Czech Republic,10513209
Greece,10816286
Belgium,11198638
Netherlands,16856620
Kazakhstan,17422000
Romania,19942642
Poland,38483957
Ukraine,44291413
Spain,46704314
England,53012456
Italy,60782668
France,66030000
Turkey,76667864
Germany,80716000
Russia,143700000
