Country,Bookmaker ,Simstudy,Strengths,FIFA,,,,
Germany,1,2,2,2,,1,1,1
France,2,1,1,12,,1,1,10
Spain,3,4,4,3,,1,1,0
England,4,5,5,5,,1,1,1
Belgium,5,3,3,1,,2,2,4
Italy,6,11,13,9,,5,7,3
Portugal,7,9,9,4,,2,2,3
Croatia,8,10,11,14,,2,3,6
Austria,9,6,6,6,,3,3,3
Poland,10,13,10,17.5,,3,0,7.5
Russia,12,8,8,17.5,,4,4,5.5
Wales,12,22,22,15,,10,10,3
Switzerland,12,12,12,8,,0,0,4
Czech,15,16,18,19,,1,3,4
Iceland,15,19,17,22,,4,2,7
Turkey,15,15,15,7,,0,0,8
Sweden,17.5,14,14,23,,3.5,3.5,5.5
Ukraine,17.5,7,7,13,,10.5,10.5,4.5
Romania,20,17,19,11,,3,1,9
Slovakia,20,20,20,21,,0,0,1
Republic,20,18,16,20,,2,4,0
Hungary,22,23,23,10,,1,1,12
Northern,23,24,24,16,,1,1,7
Albania,24,21,21,24,,3,3,0
,,,,,,,,
,,,,,,64,64,109
,,,,,,2.666666667,2.666666667,4.541666667
,,,,,,0.852412405,0.843692074,0.674228213
