Short,Long
Arsenal,Arsenal
Aston Villa,Aston Villa
Birmingham,Birmingham City
Blackburn,Blackburn Rovers
Blackpool,Blackpool
Bolton,Bolton Wanderers
Bradford,Bradford City
Burnley,Burnley
Cardiff,Cardiff City
Charlton,Charlton Athletic
Chelsea,Chelsea
Coventry,Coventry City
Crystal Palace,Crystal Palace
Derby,Derby County
Everton,Everton
Fulham,Fulham
Hull,Hull City
Ipswich,Ipswich Town
Leeds,Leeds United
Leicester,Leicester City
Liverpool,Liverpool
Man City,Manchester City
Man United,Manchester United
Middlesboro,Middlesbrough
Middlesbrough,Middlesbrough
Newcastle,Newcastle United
Norwich,Norwich City
Portsmouth,Portsmouth
QPR,Queens Park Rangers
Reading,Reading
Sheffield United,Sheffield United
Southampton,Southampton
Stoke,Stoke City
Sunderland,Sunderland
Swansea,Swansea City
Tottenham,Tottenham Hotspur
Watford,Watford
West Brom,West Bromwich Albion
West Ham,West Ham United
Wigan,Wigan Athletic
Wolves,Wolverhampton Wanderers
